Episode,RL_Agent,Bot Honest,Bot Challenger,Epsilon
320500,0.00,1.60,97.00,0.043590
321000,0.00,1.40,97.20,0.043555
321500,0.00,1.20,98.20,0.043520
322000,0.00,1.20,98.00,0.043486
322500,0.00,1.00,97.80,0.043451
323000,0.00,0.80,98.20,0.043417
323500,0.00,1.20,98.00,0.043382
324000,0.00,1.60,98.20,0.043349
324500,0.00,1.60,97.00,0.043315
325000,0.00,0.60,99.20,0.043282
325500,0.00,1.60,97.40,0.043247
326000,0.00,2.20,97.20,0.043214
326500,0.00,0.80,98.20,0.043179
327000,0.00,1.00,97.80,0.043144
327500,0.00,0.60,98.80,0.043111
328000,0.00,1.60,98.00,0.043078
328500,0.00,1.60,97.60,0.043044
329000,0.00,1.00,97.80,0.043010
329500,0.00,2.40,97.20,0.042977
330000,0.00,2.40,95.60,0.042942
330500,0.00,1.40,98.00,0.042909
331000,0.00,2.00,96.40,0.042873
331500,0.00,2.00,96.80,0.042837
332000,0.00,1.20,97.80,0.042804
332500,0.00,1.40,98.00,0.042770
333000,0.00,1.20,97.40,0.042734
333500,0.00,0.80,98.40,0.042699
334000,0.00,1.00,97.60,0.042665
334500,0.00,0.80,98.00,0.042630
335000,0.00,2.40,97.00,0.042597
335500,0.00,0.60,98.20,0.042562
336000,0.00,0.60,98.80,0.042529
336500,0.00,1.00,98.60,0.042496
337000,0.00,2.00,96.60,0.042461
337500,0.00,2.00,97.20,0.042427
338000,0.00,0.80,98.00,0.042394
338500,0.00,0.60,98.60,0.042361
339000,0.00,1.60,97.20,0.042327
339500,0.00,0.80,98.80,0.042293
340000,0.00,1.40,97.40,0.042259
340500,0.00,1.60,97.80,0.042226
341000,0.00,0.60,97.00,0.042192
341500,0.00,1.40,98.40,0.042160
342000,0.00,0.80,97.60,0.042125
342500,0.00,1.60,97.40,0.042091
343000,0.00,0.80,97.60,0.042056
343500,0.00,2.40,96.00,0.042022
344000,0.00,0.60,99.00,0.041989
